Sprint / Category,Task ID,Task,Effort,Impact,Status
Sprint 6 - Content Fixes & New Content,40,"Proofread & rewrite Sliding Puzzle page body (5+ errors: 'having problem to solve', 'sharpens of short-term memory', etc.)",2 hrs,Medium,Complete
Sprint 6 - Content Fixes & New Content,41,Fix Sliding Puzzle FAQ heading capitalization ('How do We play' -> 'How do you play'),5 min,Low,Complete
Sprint 6 - Content Fixes & New Content,42,Establish pre-publish proofreading checklist for future page launches,1 hr,Medium,Todo
Sprint 6 - Content Fixes & New Content,43,"Write blog post: 'How to Play Sudoku for Beginners' (target: 'how to play sudoku', 10K-100K/mo)",4 hrs,High,Complete
Sprint 6 - Content Fixes & New Content,44,Write blog post: 'How to Get Faster at Rubik's Cube' - link to timer page,4 hrs,High,Content
Sprint 6 - Content Fixes & New Content,45,Write blog post: 'Best Free Online Brain Games for Students in India 2026',4 hrs,High,Content
Sprint 6 - Content Fixes & New Content,46,Write blog post: '10 Benefits of Brain Training Games Backed by Research' (with citations),5 hrs,High,Content
Sprint 6 - Content Fixes & New Content,47,"Audit template repetition - every game page follows identical 'Intro -> What is X -> Benefits bullets -> Features -> Why X Remains Popular -> FAQ' skeleton, flagged as mass-produced/low-effort pattern",1 hr,Medium,Backlog
Sprint 6 - Content Fixes & New Content,48,Rewrite homepage body to remove repetitive filler - multiple paragraphs restate 'no download / brain benefits / easy to use' in slightly different words,2 hrs,Medium,Backlog
Sprint 6 - Content Fixes & New Content,49,Rewrite 2048 FAQ answers - remove generic AI-style hedging ('Yes! when used thoughtfully... moderation is key') to match site's voice,30 min,Low,Complete
Sprint 6 - Content Fixes & New Content,50,"Vary page structure across game pages so each reads as distinct, original content rather than the same template reworded",4 hrs,Medium,Backlog
Sprint 7 - Core Web Vitals & Performance,51,"Run Lighthouse on all game pages; target LCP < 2.5s, CLS < 0.1 (ad slots are likely CLS culprits)",4 hrs,High,Backlog
Sprint 7 - Core Web Vitals & Performance,52,Lazy-load all below-the-fold game thumbnails and section images,2 hrs,High,Backlog
Sprint 7 - Core Web Vitals & Performance,53,Serve images in WebP/AVIF format; add width+height attributes to prevent layout shift,3 hrs,High,Backlog
Sprint 7 - Core Web Vitals & Performance,54,"Audit and defer all non-critical third-party scripts (ads, analytics, social widgets)",2 hrs,Medium,Backlog
Sprint 7 - Core Web Vitals & Performance,55,Add preconnect hints for Google Fonts and ad network domains in <head>,30 min,Medium,Backlog
Sprint 8 - Ad Monetisation Health,56,Audit current ad placements for CLS impact; fix any units without reserved slot dimensions,2 hrs,High,Backlog
Sprint 8 - Ad Monetisation Health,57,Add a dedicated 300x250 or 728x90 in-content ad slot to blog post template (higher RPM than sidebar),2 hrs,High,Backlog
Sprint 8 - Ad Monetisation Health,58,Enable AdSense Auto Ads only on blog pages; turn off on game canvas pages to avoid covering game UI,1 hr,Medium,Backlog
Sprint 8 - Ad Monetisation Health,59,Track ad viewability and CTR per page in AdSense; pause low-performing units dragging overall score,1 hr,Medium,Backlog
Sprint 9 - International & Language,60,Add hreflang='en-IN' tag to all pages targeting Indian users to signal locale to Google,1 hr,Medium,Backlog
Sprint 9 - International & Language,61,Register and verify mindhack.in on Bing Webmaster Tools; submit sitemap,30 min,Medium,Todo
Sprint 9 - International & Language,62,"Set up Google Analytics 4 (if not already) with custom events for game_start, game_over, share_click",3 hrs,High,Backlog
Sprint 10 - New Content & Pages,63,Write blog post: 'Top 10 Free Puzzle Games to Play Online in India 2026' (internal links to all game pages),4 hrs,High,Content
Sprint 10 - New Content & Pages,64,"Write blog post: 'How to Solve a 4x4 Sliding Puzzle - Step by Step' (targets long-tail, links to Sliding Puzzle page)",3 hrs,High,Content
Sprint 10 - New Content & Pages,65,"Write blog post: 'What is the 2048 Strategy That Always Works?' (target: '2048 strategy', medium competition)",3 hrs,High,Content
Sprint 10 - New Content & Pages,66,"Create a /blog/ hub page with proper H1, intro copy, pagination, and JSON-LD BlogPosting schema",2 hrs,High,Content
Sprint 10 - New Content & Pages,67,"Add internal links from each game page to the most relevant blog post (contextual anchor text, not 'click here')",2 hrs,High,Backlog
Sprint 10 - New Content & Pages,68,Add 'Related Games' section with thumbnail links on each game page (replaces broken 'Other games you will love'),4 hrs,Medium,Backlog
Sprint 10 - New Content & Pages,69,Create a /games/ category landing page for 'Puzzle Games' and one for 'Arcade Games' with unique 300+ word intros,3 hrs,Medium,Backlog
Sprint 11 - Link Building & Signals,70,"Build a free tool: 'Brain Age Calculator' quiz (shareable, linkable asset with citation potential)",8 hrs,High,Backlog
Sprint 11 - Link Building & Signals,71,Create a sharable 'Rubik's Cube Solve Time Leaderboard' feature to encourage return visits and backlinks,6 hrs,Medium,Backlog
Sprint 11 - Link Building & Signals,72,Submit mindhack.in to Google for inclusion in 'AI-overview' eligible sources via Google News Publisher Center (if eligible),1 hr,Medium,Backlog
Sprint 11 - Link Building & Signals,73,Claim Google Business Profile for Mindhack.in (brand entity signal for Knowledge Panel),30 min,Medium,Backlog
